Transaction_ID,Amount,Tax_Reported,Tax_Actual,Category,Is_Anomalous
1,18789.551930483387,14.341020461667462,23.24995777474926,Sales,0
2,47540.643889854815,13.322802405785081,9.61279988996779,Salary,0
3,36626.49769638912,9.403847812571502,13.665992359247154,Purchase,0
4,29973.058361432126,20.181666752537197,21.582015921445457,Sales,0
5,7885.330158077582,16.915604012715722,17.052233613111998,Purchase,0
6,7884.126564776512,26.64252480810009,23.464275965872346,Sales,0
7,2998.3722471931533,5.802739512051456,29.030197530571492,Sales,0
8,43322.18967416927,21.096698188878158,7.913667192879937,Sales,0
9,30095.63908598612,24.07372196278903,22.739192909951523,Investment,0
10,35432.82163202267,23.987164229707677,10.758603890802863,Investment,0
11,1127.1662653605422,27.15184917738813,15.36191818518923,Sales,0
12,48498.501622883516,23.22584357073735,5.821568144878496,Sales,0
13,41638.887775941046,28.19525154119241,8.397684557317474,Sales,0
14,10695.72162284598,13.316414995522287,12.994432226222493,Sales,0
15,9173.065863634321,17.580235418788575,13.549645132199624,Salary,0
16,9251.885041686348,5.351991582072267,27.489630411552394,Salary,0
17,15281.687923680933,5.17393968258228,23.54532273166288,Salary,0
18,26285.345938448667,11.003165511287996,29.304574204676026,Investment,0
19,21654.056430241577,7.520179928477131,19.976787758381015,Purchase,0
20,14632.334095882292,11.505284198393841,11.04284330228295,Sales,0
21,30631.459446646735,9.426082363209936,13.191375748041072,Salary,0
22,7060.743646536887,5.713000620966206,12.995898082299178,Salary,0
23,14678.017961907386,27.732603660151234,13.16235819158129,Salary,0
24,18381.455980355215,5.2055782847222885,21.824104327795393,Sales,0
25,22857.89221243009,23.402053608427135,18.270198202260403,Sales,0
26,39280.280473511375,17.562483242818285,14.635604452166108,Purchase,1
27,10063.72172970215,27.80574054999,8.727244218217916,Investment,0
28,25760.29847683922,27.319898489747146,5.553479073553648,Purchase,0
29,29661.486986215918,21.347528659231433,10.470866939692314,Sales,0
30,2417.8755947278864,43.500467299944496,7.6867850992170315,Purchase,1
31,30416.488109881775,5.133478549242214,24.636125771305984,Salary,0
32,8609.153771995847,29.62178915284005,7.812448945347135,Purchase,0
33,3346.074489965448,26.94581508939536,23.105705932670904,Salary,0
34,47449.38830894133,27.3776556432523,14.641467244402065,Purchase,0
35,48285.038450420514,21.481113426271797,6.834459743594399,Salary,0
36,40439.02767101141,13.619673216363413,25.318251235789646,Purchase,0
37,15300.227081751198,27.34121622726202,19.490764255915334,Investment,0
38,4973.838488918555,12.287923203779808,10.894037821589325,Purchase,0
39,34243.22802295663,19.06778858355507,27.3670293583167,Sales,0
40,22063.609437606105,7.49327430859706,6.131457846763786,Sales,0
41,6189.707918754463,28.048890753318755,10.045490204944073,Salary,0
42,24809.327814552384,8.519261444280334,23.801173195146525,Sales,0
43,1815.987203649398,10.622420143260182,22.73444825774723,Salary,0
44,45475.08806373122,18.953353953205372,12.231792343111952,Investment,0
45,13013.121081840844,24.102325005324538,6.550621883819578,Sales,0
46,33159.8619892637,20.483782648407473,26.451951805623594,Sales,0
47,15654.382696861607,10.803347820003903,12.842440951747564,Salary,0
48,26051.39425677276,5.023576063187258,9.89283537320663,Investment,0
49,27380.842939229653,23.92876450768598,17.901545559024427,Investment,0
50,9324.2373307238,29.630183147777345,27.75567998206118,Purchase,0
51,48482.27292545147,25.24782800765226,6.088664446084383,Salary,0
52,38779.127885719616,16.50516545391538,24.145102200772193,Salary,0
53,46980.997184053034,27.594181534977665,19.311830698467723,Investment,0
54,44751.88478633967,15.24619182795875,15.636227913795423,Salary,0
55,29935.208942673147,18.12335210608669,23.602011102626502,Sales,0
56,46101.52432765353,16.92824418489208,29.14561061104081,Sales,0
57,4515.775852390783,16.190596816638124,10.730155279067276,Sales,0
58,9879.544834715345,24.379769232347645,8.59118412680299,Salary,0
59,2356.8417166358495,18.1692226817373,27.822043630567425,Purchase,0
60,16333.983505086891,12.917928050630401,21.72382693643259,Purchase,0
61,19494.99675550515,11.453954191461957,15.949650539049149,Investment,0
62,13640.316685517406,5.943682924185834,19.331489256607078,Salary,0
63,41454.00170668127,19.579879047076147,23.6403476294061,Investment,0
64,17901.991002010105,10.749035385025856,24.32579746764293,Salary,0
65,14118.6320334003,8.703348050409577,27.997354520474115,Purchase,0
66,27180.5345495966,21.345749095691943,15.671069722390566,Sales,0
